muni,restrict_sf_permit,restrict_mf_permit,limit_sf_units,limit_mf_units,limit_mf_dwellings,limit_mf_dwelling_units,min_lot_size,max_density,open_space,inclusionary,council_nz,planning_nz,countybrd_nz,pubhlth_nz,site_plan_nz,env_rev_nz,council_rz,planning_rz,zoning_rz,countybrd_rz,countyzone_rz,townmeet_rz,env_rev_rz,adu,half_acre_less,half_acre_more,one_acre_more,two_acre_more,max_den_cat1,max_den_cat2,max_den_cat3,max_den_cat4,max_den_cat5,height_ft_median,height_ft_mode,height_st_median,height_st_mode,parking_median,parking_mode,mf per,timestamp
IL_Lisle,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0,0,1,1,1,0,0,0,0,1,1,1,0,0.0,1.0,1.0,1.0,0.0,0.0,35.0,35.0,3.0,3.0,2.0,1.0,0.5714285714285714,2024-06-28 17:58:11
IN_SouthBend,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0.0,0.0,1.0,1.0,0.0,1.0,37.5,60.0,2.0,2.0,2.0,1.0,0.625,2024-06-28 17:53:28
IN_Warsaw,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0.0,1.0,0.0,0.0,0.0,1.0,,,,,2.0,1.0,0.3333333333333333,2024-06-28 17:53:25
KS_GardenCity,0,0,0,0,0,0,1,0,1,0,1,1,0,0,1,0,1,1,1,1,0,0,0,1,1,0,0,0.0,1.0,1.0,1.0,1.0,0.0,45.0,75.0,5.0,5.0,2.0,2.0,0.5,2024-06-28 17:52:50
KS_Larned,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0.0,0.0,1.0,1.0,1.0,0.0,35.0,35.0,,,3.0,5.5,0.1666666666666666,2024-06-28 17:52:38
KY_Campbellsville,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0.0,1.0,1.0,1.0,0.0,1.0,50.0,50.0,3.0,2.0,1.0,1.0,0.4,2024-06-28 17:51:38
MD_Brentwood,0,0,0,0,0,0,1,0,1,0,1,1,0,0,1,0,1,1,1,1,0,0,0,1,1,1,1,1.0,1.0,1.0,1.0,1.0,1.0,36.0,36.0,2.75,2.0,4.0,1.0,0.4333333333333333,2024-06-28 17:47:39
MO_OFallon,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0,0,1,1,1,0,0,0,0,1,1,1,0,0.0,1.0,1.0,1.0,1.0,1.0,12.0,12.0,3.0,3.0,2.0,2.0,0.4545454545454545,2024-06-28 17:34:48
MO_Wentzville,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0.0,1.0,1.0,1.0,0.0,0.0,47.5,35.0,7.25,10.5,2.0,2.0,0.3333333333333333,2024-06-28 17:33:36
NH_Milton,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0.0,1.0,0.0,1.0,0.0,1.0,25.0,25.0,2.0,2.0,2.0,5.0,0.4,2024-06-28 17:28:24
NH_Newmarket,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0,0,1,1,0,0,0,1,0,1,0,0,0,,1.0,1.0,0.0,1.0,0.0,35.0,50.0,,,2.0,2.0,0.7142857142857143,2024-06-28 17:28:18
NJ_Passaic,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1,1,1,0,0,0,0,0,1,1,0,0.0,1.0,0.0,0.0,0.0,1.0,23.0,70.0,3.0,3.0,1.0,1.0,0.6,2024-06-28 17:25:04
NJ_Waterford,0,0,0,0,0,0,1,0,1,1,1,1,0,1,0,0,0,1,0,0,1,0,0,0,1,0,1,0.0,1.0,1.0,1.0,1.0,0.0,35.0,35.0,,,2.0,2.0,0.0,2024-06-28 17:23:32
NY_Penfield,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1,1.0,1.0,1.0,1.0,1.0,0.0,35.0,35.0,2.0,2.0,2.0,2.0,0.3333333333333333,2024-06-28 17:20:17
OH_StClairsville,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0,0,1,1,1,0,0,0,0,1,1,0,1,0.0,1.0,0.0,1.0,0.0,0.0,35.0,35.0,3.0,3.0,2.0,1.0,0.5,2024-06-28 17:15:21
OH_UpperArlington,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,1,1.0,1.0,1.0,1.0,1.0,0.0,20.0,20.0,2.5,2.5,2.0,2.0,0.4545454545454545,2024-06-28 17:15:07
OK_Bristow,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0.0,1.0,1.0,0.0,0.0,0.0,35.0,35.0,2.0,2.0,2.0,2.0,0.3333333333333333,2024-06-28 17:14:28
PA_Perkasie,0,0,0,0,0,0,1,0,1,0,1,1,0,1,0,0,1,1,1,0,0,0,0,0,1,0,0,1.0,1.0,1.0,1.0,1.0,0.0,30.0,30.0,3.0,3.0,2.0,2.0,0.2,2024-06-28 17:06:39
