muni,restrict_sf_permit,restrict_mf_permit,limit_sf_units,limit_mf_units,limit_mf_dwellings,limit_mf_dwelling_units,min_lot_size,max_density,open_space,inclusionary,council_nz,planning_nz,countybrd_nz,pubhlth_nz,site_plan_nz,env_rev_nz,council_rz,planning_rz,zoning_rz,countybrd_rz,countyzone_rz,townmeet_rz,env_rev_rz,adu,half_acre_less,half_acre_more,one_acre_more,two_acre_more,max_den_cat1,max_den_cat2,max_den_cat3,max_den_cat4,max_den_cat5,height_ft_median,height_ft_mode,height_st_median,height_st_mode,parking_median,parking_mode,mf per,last_date,timestamp
NY_CobleskillVillage,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,1,1,1,0,1,1,1,1,0,12,12,,,2,2,0.333333333,43571,4/27/2022 10:22
NY_Cohoes,0,0,0,0,0,0,1,0,0,1,1,1,0,0,1,0,1,1,1,0,0,0,0,1,1,0,0,0,1,1,1,1,0,35,35,2,2,1,1,0.333333333,43949,4/27/2022 10:22
NY_ColonieTown,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,1,1,1,0,1,15,10,2,2,2,2,0.75,43559,4/27/2022 10:22
NY_ColonieVillage,0,0,0,0,0,0,1,0,0,0,1,1,0,1,0,0,1,1,1,0,0,0,0,1,1,0,0,0,1,1,0,0,1,25,25,2,2,2,2,0.333333333,43605,4/27/2022 10:22
NY_CrotononHudson,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,1,1,1,0,0,0,0,1,1,1,1,0,1,1,1,1,1,35,35,3,3,2,2,0.111111111,44712,4/27/2022 10:22
NY_Depew,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,28,30,1.5,2,2,1,0.5,43772,4/27/2022 10:22
NY_EastSyracuse,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,1,1,0,0,,,,,1,1,0,43579,4/27/2022 10:22
NY_Elmira,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,1,1,1,0,0,35,35,3,3,1,1,0.428571429,43410,4/27/2022 10:22
NY_Endicott,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0,0,1,1,1,0,0,0,0,0,1,1,0,0,1,1,1,1,1,25,25,,,1.4,2,0.375,43627,4/27/2022 10:22
NY_Fairport,0,0,0,0,0,0,1,0,0,1,1,1,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,45,45,1.5,2,2,2,0.8,43507,4/27/2022 10:22
NY_Fallsburg,0,0,0,0,0,0,1,0,1,1,0,1,0,0,1,0,0,1,1,0,0,0,0,0,1,1,0,0,1,1,1,1,0,35,35,2.5,2.5,2,2,0.4,43689,4/27/2022 10:22
NY_Freeport,0,0,0,0,0,0,1,0,1,0,1,1,0,0,1,0,1,1,1,0,0,0,0,0,1,1,0,0,1,0,1,0,1,40,40,3,3,1,1,0.75,43451,4/27/2022 10:22
NY_Fulton,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,1,1,1,1,0,24.5,25,2,2,2,2,0,43683,4/27/2022 10:22
NY_Gates,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,1,1,0,0,0,27.5,35,2.25,2.5,1.25,1,0.4,43621,4/27/2022 10:22
NY_Geneseo,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0,0,1,1,1,0,0,0,0,1,1,1,1,1,1,1,1,0,1,35,35,2,2,1,1,0.5,43696,4/27/2022 10:22
NY_Geneva,0,0,0,0,0,0,1,0,1,0,1,1,0,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,45,45,4,4,1,1,0.5,43747,4/27/2022 10:22
NY_Gouverneur,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,,,2,2,2,3,0,,4/27/2022 10:22
NY_Granville,0,0,0,0,0,0,1,0,0,0,1,1,0,1,0,0,1,1,1,0,1,0,0,0,1,0,0,0,1,1,0,0,0,35,35,0.5,0.5,2,2,0.333333333,39456,4/27/2022 10:22
NY_GreatNeckEstates,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,1,1,1,0,0,0,0,0,1,0,0,0,1,1,1,0,1,56,56,2.25,2.5,6,10,0,43626,4/27/2022 10:22
NY_HamburgVillage,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,1,1,1,0,0,0,0,0,1,1,0,0,1,1,0,0,0,35,35,2.5,3,2,2,0.5,43623,4/27/2022 10:22
NY_HastingsonHudson,0,0,0,0,0,0,1,0,1,1,1,1,0,0,1,0,1,1,1,0,1,0,0,1,1,0,0,0,1,1,1,1,1,15,15,3,2.5,2,2,0.6,43753,4/27/2022 10:22
NY_Hornell,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,1,0,0,0,0,35,35,,,2,2,0.75,43388,4/27/2022 10:22
